ranking,title,genre,certificate,release_year,runtime,metascore_rating,directors,stars,votes,gross_revenue,actors_atings,direction_atings,screenplay_ratings,oscars,oscar_nominations,bafta_awards,bafta_nominations,golden_globes,golden_globe_nominations,link
70,A Place in the Sun,"Drama, Romance",Passed,-1951,122 min,76,George Stevens,"Montgomery Clift, Elizabeth Taylor, Shelley Winters, Anne Revere","24,675",N/A,4.6,4.8,4.7,6,9,0,0,1,4,https://www.imdb.com/title/tt0043924/
71,Midnight Cowboy,Drama,R,-1969,113 min,79,John Schlesinger,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver","120,335","44,785,053",4.8,4.7,4.9,3,7,6,6,1,7,https://www.imdb.com/title/tt0064665/
72,Mr. Smith Goes to Washington,"Comedy, Drama",Passed,-1939,129 min,73,Frank Capra,"James Stewart, Jean Arthur, Claude Rains, Edward Arnold","121,182","9,600,000",4.8,4.8,4.8,1,11,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0031679/
73,Rain Man,Drama,R,-1988,133 min,65,Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen","545,481","178,800,000",5,4.9,4.8,4,8,0,3,2,4,https://www.imdb.com/title/tt0095953/
74,Annie Hall,"Comedy, Romance",PG,-1977,93 min,92,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane","277,877","39,200,000",4.8,5,4.9,4,5,5,6,1,5,https://www.imdb.com/title/tt0075686/
75,Fargo,"Crime, Thriller",R,-1996,98 min,88,Joel Coen,"Ethan Coen, William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare","724,753","24,611,975",5,5,5,2,7,1,6,0,4,https://www.imdb.com/title/tt0116282/
76,Giant,"Drama, Western",G,-1956,201 min,84,George Stevens,"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker","42,135",N/A,4.8,4.7,4.8,1,10,0,0,0,1,https://www.imdb.com/title/tt0049261/
77,Shane,"Drama, Western",Not Rated,-1953,118 min,85,George Stevens,"Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde","44,027","20,000,000",4.7,4.8,4.7,1,6,0,2,0,0,https://www.imdb.com/title/tt0046303/
78,The Grapes of Wrath,Drama,Passed,-1940,129 min,96,John Ford,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin","99,727","55,000",4.6,4.8,4.7,2,7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0032551/
79,The Green Mile,"Crime, Drama, Fantasy",R,-1999,189 min,61,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt","1,402,926","136,801,374",4.8,4.9,4.9,0,4,0,0,0,1,https://www.imdb.com/title/tt0120689/
8,The Wizard of Oz,"Adventure, Family, Fantasy",PG,-1939,102 min,92,Victor Fleming,"King Vidor, Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr","427,633","2,076,020",5,5,5,2,6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0032138/
80,Close Encounters of the Third Kind,"Drama, Sci-Fi",PG,-1977,138 min,90,Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon","216,336","132,088,635",4.6,4.9,4.7,1,8,0,4,1,8,https://www.imdb.com/title/tt0075860/
81,Nashville,"Comedy, Drama, Music",R,-1975,160 min,96,Robert Altman,"Keith Carradine, Karen Black, Ronee Blakley, Shelley Duvall","28,491","14,824,000",4.7,4.8,4.8,1,5,1,5,1,11,https://www.imdb.com/title/tt0073440/
82,Network,Drama,R,-1976,121 min,83,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall","170,174",N/A,4.8,4.9,4.9,4,10,1,9,4,5,https://www.imdb.com/title/tt0074958/
83,The Graduate,"Comedy, Drama, Romance",PG,-1967,106 min,83,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels","287,902","104,945,305",5,4.8,4.8,1,7,5,7,5,7,https://www.imdb.com/title/tt0061722/
84,American Graffiti,"Comedy, Drama",PG,-1973,110 min,97,George Lucas,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith","97,863","115,000,000",4.7,4.8,4.8,0,5,0,1,2,4,https://www.imdb.com/title/tt0069704/
85,Pulp Fiction,"Crime, Drama",R,-1994,154 min,95,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis","2,212,354","107,928,762",4.7,4.9,5,1,7,2,8,1,6,https://www.imdb.com/title/tt0110912/
86,Terms of Endearment,"Comedy, Drama",PG,-1983,132 min,79,James L. Brooks,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito","65,296","108,423,489",5,4.9,4.9,5,11,0,1,4,6,https://www.imdb.com/title/tt0086425/
87,Good Will Hunting,"Drama, Romance",R,-1997,126 min,71,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård","1,063,788","138,433,435",4.8,4.9,5,2,9,0,0,1,4,https://www.imdb.com/title/tt0119217/
88,The African Queen,"Adventure, Drama, Romance",PG,-1951,105 min,91,John Huston,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull","84,129","536,118",4.7,4.8,4.8,1,4,0,3,0,0,https://www.imdb.com/title/tt0043265/
89,Stagecoach,"Adventure, Drama, Western",Passed,-1939,96 min,93,John Ford,"John Wayne, Claire Trevor, Andy Devine, John Carradine","53,613",N/A,4.6,4.8,4.7,2,7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0031971/
9,One Flew Over the Cuckoo's Nest,Drama,R,-1975,133 min,84,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco","1,069,912","112,000,000",5,5,5,5,9,6,9,6,6,https://www.imdb.com/title/tt0073486/
90,Mutiny on the Bounty,"Adventure, Biography, Drama",Passed,-1935,132 min,87,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin","24,782",N/A,4.9,4.7,4.8,1,8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0026752/
91,The Great Dictator,"Comedy, Drama, War",G,-1940,125 min,N/A,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner","236,885","288,475",5,4.9,4.8,0,5,0,0,0,0,https://www.imdb.com/title/tt0032553/
92,Double Indemnity,"Crime, Drama, Film-Noir",Passed,-1944,107 min,95,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr","167,059","5,720,000",4.8,4.8,4.8,0,7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0036775/
93,The Maltese Falcon,"Crime, Film-Noir, Mystery",Passed,-1941,100 min,97,John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre","166,319","2,108,060",4.7,4.7,4.8,0,3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0033870/
94,Wuthering Heights,"Drama, Romance",Passed,-1939,104 min,N/A,William Wyler,"Merle Oberon, Laurence Olivier, David Niven, Flora Robson","19,715","762,484",4.8,4.9,4.8,1,8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0032145/
95,Taxi Driver,"Crime, Drama",R,-1976,114 min,94,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks","917,676","28,262,574",5,5,4.8,0,4,2,6,0,2,https://www.imdb.com/title/tt0075314/
96,Rear Window,"Mystery, Thriller",PG,-1954,112 min,100,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter","520,908","36,764,313",4.8,5,4.9,0,4,0,1,0,0,https://www.imdb.com/title/tt0047396/
97,The Third Man,"Film-Noir, Mystery, Thriller",Approved,-1949,93 min,97,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard","181,477","449,191",4.8,4.9,4.8,1,3,1,2,0,0,https://www.imdb.com/title/tt0041959/
98,Rebel Without a Cause,Drama,PG-13,-1955,111 min,89,Nicholas Ray,"James Dean, Natalie Wood, Sal Mineo, Jim Backus","97,721",N/A,4.7,4.7,4.8,0,3,0,2,0,0,https://www.imdb.com/title/tt0048545/
99,North by Northwest,"Action, Adventure, Mystery",Approved,-1959,136 min,98,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis","345,299","13,275,000",4.8,4.9,4.8,0,3,0,0,0,0,https://www.imdb.com/title/tt0053125/
